Entropy,Energy,Correlation,Contrast,Homogeneity
4.535178031846025,0.2576530612244898,0.6705921019987634,0.5714285714285714,0.8333333333333333
3.591624118037728,0.4719387755102041,0.9098584510788069,0.08928571428571427,0.9553571428571428
3.2887024457395038,0.3960459183673469,0.9580855941128725,0.03571428571428571,0.9821428571428571
3.674843750773833,0.41007653061224486,0.7741935483870968,0.14285714285714285,0.9285714285714285
3.520328895013993,0.78125,0.9999999999999999,0.0,1.0
3.3054640524434755,0.78125,0.9999999999999999,0.0,1.0
2.25,0.78125,0.9999999999999999,0.0,1.0
2.25,0.78125,0.9999999999999999,0.0,1.0
3.5752557768445103,0.78125,0.9999999999999999,0.0,1.0
3.385497793715701,0.78125,0.9999999999999999,0.0,1.0
3.433813720067261,0.78125,0.9999999999999999,0.0,1.0
3.643768497043526,0.78125,0.9999999999999999,0.0,1.0
3.0720698853806314,0.78125,0.9999999999999999,0.0,1.0
3.194548827786958,0.78125,0.9999999999999999,0.0,1.0
3.4812609333494526,0.78125,0.9999999999999999,0.0,1.0
3.258620425180598,0.78125,0.9999999999999999,0.0,1.0
3.2511028839181493,0.78125,0.9999999999999999,0.0,1.0
3.1099435433500804,0.78125,0.9999999999999999,0.0,1.0
3.7309941889524785,0.78125,0.9999999999999999,0.0,1.0
2.75,0.78125,0.9999999999999999,0.0,1.0
3.442235267751116,0.78125,0.9999999999999999,0.0,1.0
3.3806847279511487,0.78125,0.9999999999999999,0.0,1.0
3.476471769498565,0.78125,0.9999999999999999,0.0,1.0
3.3450276301878423,0.78125,0.9999999999999999,0.0,1.0
2.5,0.78125,0.9999999999999999,0.0,1.0
3.1856919871571896,0.78125,0.9999999999999999,0.0,1.0
3.6031903635761804,0.78125,0.9999999999999999,0.0,1.0
3.2071750828270176,0.5401785714285714,0.9065113112623574,0.05357142857142857,0.9732142857142857
3.3343892929844596,0.37308673469387754,0.9641264871839095,0.03571428571428571,0.9821428571428572
3.500406197314632,0.4681122448979592,0.9641943734015346,0.03571428571428571,0.9821428571428572
2.75,0.78125,0.9999999999999999,0.0,1.0
3.715171690006749,0.78125,0.9999999999999999,0.0,1.0
3.8431390622295662,0.3494897959183673,0.4747405169662945,0.75,0.8154761904761905
1.5,0.5478316326530612,0.699463327370304,0.10714285714285714,0.9464285714285714
1.811278124459133,0.53125,0.9999999999999999,0.0,1.0
2.9073957583346908,1.0,0.0,0.0,1.0
2.7381081122623816,1.0,0.0,0.0,1.0
2.7806390622295662,1.0,0.0,0.0,1.0
2.90581380849926,1.0,0.0,0.0,1.0
2.9981130612755407,1.0,0.0,0.0,1.0
2.1556390622295662,1.0,0.0,0.0,1.0
2.655693136069282,1.0,0.0,0.0,1.0
2.658975551111045,1.0,0.0,0.0,1.0
2.582893321295498,1.0,0.0,0.0,1.0
2.585592425335835,1.0,0.0,0.0,1.0
2.587488766373815,1.0,0.0,0.0,1.0
3.1089455377896464,1.0,0.0,0.0,1.0
2.6988754276497504,1.0,0.0,0.0,1.0
2.1556390622295662,1.0,0.0,0.0,1.0
2.186278124459133,1.0,0.0,0.0,1.0
3.0497245298377282,1.0,0.0,0.0,1.0
2.930464630793815,1.0,0.0,0.0,1.0
2.643612880298464,1.0,0.0,0.0,1.0
3.0497245298377282,1.0,0.0,0.0,1.0
3.289466807228053,1.0,0.0,0.0,1.0
2.5652173557283304,1.0,0.0,0.0,1.0
2.19919834670499,1.0,0.0,0.0,1.0
2.7033737464849272,1.0,0.0,0.0,1.0
2.877663281888615,1.0,0.0,0.0,1.0
3.0505353874415726,0.5535714285714285,0.7372097807744857,0.10714285714285714,0.9464285714285715
2.7840238311901895,0.3239795918367347,0.5118906968889914,0.25,0.875
2.426152688738856,0.931122448979592,0.0,0.03571428571428571,0.9821428571428572
2.4114133659676638,1.0,0.0,0.0,1.0
3.00812538745111,1.0,0.0,0.0,1.0
3.9016784568353473,0.37755102040816324,0.5320645078129517,0.7142857142857142,0.8333333333333333
2.96363429539512,0.6167091836734694,0.9523532664857334,0.017857142857142856,0.9910714285714286
2.7776961702707514,0.7735969387755102,0.6294651817966898,0.07142857142857142,0.9642857142857143
1.811278124459133,1.0,0.0,0.0,1.0
2.59026536894129,1.0,0.0,0.0,1.0
2.25,1.0,0.0,0.0,1.0
3.037661565762528,1.0,0.0,0.0,1.0
2.1556390622295662,1.0,0.0,0.0,1.0
3.253066899841161,1.0,0.0,0.0,1.0
1.811278124459133,1.0,0.0,0.0,1.0
2.5590069625880156,1.0,0.0,0.0,1.0
2.4487947287524445,1.0,0.0,0.0,1.0
2.1556390622295662,1.0,0.0,0.0,1.0
3.001344406518048,1.0,0.0,0.0,1.0
2.8811335703689362,1.0,0.0,0.0,1.0
2.0,1.0,0.0,0.0,1.0
2.0,1.0,0.0,0.0,1.0
2.714517877819773,1.0,0.0,0.0,1.0
2.976126997774767,1.0,0.0,0.0,1.0
2.81870424594464,1.0,0.0,0.0,1.0
2.9752712165092756,1.0,0.0,0.0,1.0
2.81870424594464,1.0,0.0,0.0,1.0
3.000869239846264,1.0,0.0,0.0,1.0
2.7880862593282205,1.0,0.0,0.0,1.0
1.561278124459133,1.0,0.0,0.0,1.0
2.688352689683719,1.0,0.0,0.0,1.0
1.561278124459133,1.0,0.0,0.0,1.0
2.7641790543209765,0.8973214285714286,0.8089010988089463,0.017857142857142856,0.9910714285714285
2.655542291713252,0.6460459183673469,0.8379305815963923,0.05357142857142857,0.9732142857142857
2.907310009501607,0.6109693877551021,0.6347826086956522,0.10714285714285714,0.9464285714285715
3.057614065632798,0.8335459183673469,-0.04578685464956301,0.08928571428571427,0.9553571428571429
3.1347369101440643,0.8966836734693877,0.48148148148148157,0.03571428571428571,0.9821428571428571
3.8999433125951875,0.37755102040816324,0.5320645078129517,0.7142857142857142,0.8333333333333333
2.8621768830321535,0.4177295918367347,0.7697503442776706,0.125,0.9375
2.880800627992094,0.660076530612245,0.5696951079673036,0.10714285714285714,0.9464285714285715
2.5931390622295662,0.8329081632653061,0.7307692307692307,0.03571428571428571,0.9821428571428571
3.205187164990341,1.0,0.0,0.0,1.0
3.3080176835853434,1.0,0.0,0.0,1.0
3.087324091659083,1.0,0.0,0.0,1.0
